Kafka:

2023/07/03 15:20:34.720176 Created Producer rdkafka#producer-1
2023/07/03 15:20:34.785829 Sended message #0 (leadId: 634428, currentStatus: to issue) to topic "test-topic"
2023/07/03 15:20:34.836521 Sended message #1 (leadId: 609937, currentStatus: to issue) to topic "test-topic"
2023/07/03 15:20:34.836804 Sended message #2 (leadId: 628811, currentStatus: rejected) to topic "test-topic"
2023/07/03 15:20:34.888999 Sended message #3 (leadId: 614216, currentStatus: pending) to topic "test-topic"
2023/07/03 15:20:34.933152 Sended message #4 (leadId: 618329, currentStatus: rejected) to topic "test-topic"
2023/07/03 15:20:34.933409 Sended message #5 (leadId: 657674, currentStatus: approved) to topic "test-topic"
2023/07/03 15:20:34.987513 Sended message #6 (leadId: 618253, currentStatus: pending) to topic "test-topic"
2023/07/03 15:20:35.035522 Sended message #7 (leadId: 602613, currentStatus: pending) to topic "test-topic"
2023/07/03 15:20:35.035779 Sended message #8 (leadId: 618447, currentStatus: to issue) to topic "test-topic"
2023/07/03 15:20:35.086396 Sended message #9 (leadId: 632257, currentStatus: close) to topic "test-topic"
2023/07/03 15:20:35.139614 Sended message #10 (leadId: 693997, currentStatus: to issue) to topic "test-topic"
2023/07/03 15:20:35.139879 Sended message #11 (leadId: 698122, currentStatus: rejected) to topic "test-topic"
2023/07/03 15:20:35.191602 Sended message #12 (leadId: 669063, currentStatus: active) to topic "test-topic"
2023/07/03 15:20:35.236527 Sended message #13 (leadId: 661744, currentStatus: close) to topic "test-topic"
2023/07/03 15:20:35.236783 Sended message #14 (leadId: 603887, currentStatus: to issue) to topic "test-topic"
2023/07/03 15:20:35.287597 Sended message #15 (leadId: 633500, currentStatus: close) to topic "test-topic"
2023/07/03 15:20:35.333228 Sended message #16 (leadId: 678574, currentStatus: approved) to topic "test-topic"
2023/07/03 15:20:35.333493 Sended message #17 (leadId: 631589, currentStatus: rejected) to topic "test-topic"
2023/07/03 15:20:35.387596 Sended message #18 (leadId: 609301, currentStatus: rejected) to topic "test-topic"
2023/07/03 15:20:35.441650 Sended message #19 (leadId: 614046, currentStatus: approved) to topic "test-topic"
2023/07/03 15:20:35.441917 Sended message #20 (leadId: 669444, currentStatus: close) to topic "test-topic"
2023/07/03 15:20:35.484831 Sended message #21 (leadId: 601175, currentStatus: active) to topic "test-topic"
2023/07/03 15:20:35.533247 Sended message #22 (leadId: 664745, currentStatus: approved) to topic "test-topic"
2023/07/03 15:20:35.533506 Sended message #23 (leadId: 654781, currentStatus: to issue) to topic "test-topic"
2023/07/03 15:20:35.589090 Sended message #24 (leadId: 691285, currentStatus: active) to topic "test-topic"
2023/07/03 15:20:35.636255 Sended message #25 (leadId: 667008, currentStatus: rejected) to topic "test-topic"
2023/07/03 15:20:35.636552 Sended message #26 (leadId: 642795, currentStatus: approved) to topic "test-topic"
2023/07/03 15:20:35.686119 Sended message #27 (leadId: 673705, currentStatus: to issue) to topic "test-topic"
2023/07/03 15:20:35.733696 Sended message #28 (leadId: 639773, currentStatus: approved) to topic "test-topic"
2023/07/03 15:20:35.733962 Sended message #29 (leadId: 623330, currentStatus: rejected) to topic "test-topic"
2023/07/03 15:20:35.785935 Sended message #30 (leadId: 631528, currentStatus: close) to topic "test-topic"
2023/07/03 15:20:35.835033 Sended message #31 (leadId: 611553, currentStatus: to issue) to topic "test-topic"
2023/07/03 15:20:35.835321 Sended message #32 (leadId: 630015, currentStatus: to issue) to topic "test-topic"
2023/07/03 15:20:35.861487 Delivered message #0 (leadId: 634428, currentStatus: to issue) to topic "test-topic" [0] at offset 1615
2023/07/03 15:20:35.861521 Delivered message #1 (leadId: 609937, currentStatus: to issue) to topic "test-topic" [0] at offset 1616
2023/07/03 15:20:35.861537 Delivered message #2 (leadId: 628811, currentStatus: rejected) to topic "test-topic" [0] at offset 1617
2023/07/03 15:20:35.861554 Delivered message #3 (leadId: 614216, currentStatus: pending) to topic "test-topic" [0] at offset 1618
2023/07/03 15:20:35.861568 Delivered message #4 (leadId: 618329, currentStatus: rejected) to topic "test-topic" [0] at offset 1619
2023/07/03 15:20:35.861580 Delivered message #5 (leadId: 657674, currentStatus: approved) to topic "test-topic" [0] at offset 1620
2023/07/03 15:20:35.861592 Delivered message #6 (leadId: 618253, currentStatus: pending) to topic "test-topic" [0] at offset 1621
2023/07/03 15:20:35.861605 Delivered message #7 (leadId: 602613, currentStatus: pending) to topic "test-topic" [0] at offset 1622
2023/07/03 15:20:35.861626 Delivered message #8 (leadId: 618447, currentStatus: to issue) to topic "test-topic" [0] at offset 1623
2023/07/03 15:20:35.861641 Delivered message #9 (leadId: 632257, currentStatus: close) to topic "test-topic" [0] at offset 1624
2023/07/03 15:20:35.861653 Delivered message #10 (leadId: 693997, currentStatus: to issue) to topic "test-topic" [0] at offset 1625
2023/07/03 15:20:35.861664 Delivered message #11 (leadId: 698122, currentStatus: rejected) to topic "test-topic" [0] at offset 1626
2023/07/03 15:20:35.861675 Delivered message #12 (leadId: 669063, currentStatus: active) to topic "test-topic" [0] at offset 1627
2023/07/03 15:20:35.861719 Delivered message #13 (leadId: 661744, currentStatus: close) to topic "test-topic" [0] at offset 1628
2023/07/03 15:20:35.861735 Delivered message #14 (leadId: 603887, currentStatus: to issue) to topic "test-topic" [0] at offset 1629
2023/07/03 15:20:35.861747 Delivered message #15 (leadId: 633500, currentStatus: close) to topic "test-topic" [0] at offset 1630
2023/07/03 15:20:35.861758 Delivered message #16 (leadId: 678574, currentStatus: approved) to topic "test-topic" [0] at offset 1631
2023/07/03 15:20:35.861770 Delivered message #17 (leadId: 631589, currentStatus: rejected) to topic "test-topic" [0] at offset 1632
2023/07/03 15:20:35.861781 Delivered message #18 (leadId: 609301, currentStatus: rejected) to topic "test-topic" [0] at offset 1633
2023/07/03 15:20:35.861792 Delivered message #19 (leadId: 614046, currentStatus: approved) to topic "test-topic" [0] at offset 1634
2023/07/03 15:20:35.861809 Delivered message #20 (leadId: 669444, currentStatus: close) to topic "test-topic" [0] at offset 1635
2023/07/03 15:20:35.861823 Delivered message #21 (leadId: 601175, currentStatus: active) to topic "test-topic" [0] at offset 1636
2023/07/03 15:20:35.861835 Delivered message #22 (leadId: 664745, currentStatus: approved) to topic "test-topic" [0] at offset 1637
2023/07/03 15:20:35.861847 Delivered message #23 (leadId: 654781, currentStatus: to issue) to topic "test-topic" [0] at offset 1638
2023/07/03 15:20:35.861858 Delivered message #24 (leadId: 691285, currentStatus: active) to topic "test-topic" [0] at offset 1639
2023/07/03 15:20:35.861872 Delivered message #25 (leadId: 667008, currentStatus: rejected) to topic "test-topic" [0] at offset 1640
2023/07/03 15:20:35.861883 Delivered message #26 (leadId: 642795, currentStatus: approved) to topic "test-topic" [0] at offset 1641
2023/07/03 15:20:35.861895 Delivered message #27 (leadId: 673705, currentStatus: to issue) to topic "test-topic" [0] at offset 1642
2023/07/03 15:20:35.861906 Delivered message #28 (leadId: 639773, currentStatus: approved) to topic "test-topic" [0] at offset 1643
2023/07/03 15:20:35.861917 Delivered message #29 (leadId: 623330, currentStatus: rejected) to topic "test-topic" [0] at offset 1644
2023/07/03 15:20:35.865521 Delivered message #30 (leadId: 631528, currentStatus: close) to topic "test-topic" [0] at offset 1645
